pieza;descripcion;precio;unidad
B&P-005-RET/SET-TS00;Canasto;0.016896;Unidades
B&P-005-RET/SET-TS04;Canasto;0.030594;Unidades
B&P-005-RET/SET-TS05;Canasto;0.039999;Unidades
B&P-005-RET/SET-TS06;Canasto;0.041877;Unidades
B&P-005-RET/SETMS01;CANASTO MS01;0.0256;Unidades
B&P-005-TBX-2146W39;BEARING PARTS;0.859998;Unidades
B&P-005-TCX203;Bearing parts 30203;0.082901;Unidades
B&P-005-TCX204;BEARING PARTS;0.040987;Unidades
B&P-005-TCX205;BEARING PARTS;0.043986;Unidades
B&P-005-TCX206;BEARING PARTS;0.1;Unidades
B&P-005-TCX206;BEARINGS PARTS;0.06198;Unidades
B&P-005-TCX207;BEAING PARTS;0.15;Unidades
B&P-005-TCX207;BEARING PARTS;0.078975;Unidades
B&P-005-TCX208;BEARING PARTS;0.095969;Unidades
B&P-005-TCX209;BEARING PARTS;0.107965;Unidades
B&P-005-TCX210;Bearing Parts;0.120961;Unidades
B&P-005-TCX211;Bearing parts 30211;0.302697;Unidades
B&P-005-TCX212;BEARING PARTS;0.294799;Unidades
B&P-005-TCX212;Bearing parts30212;0.299999;Unidades
B&P-005-TCX213;Bearing parts 30213;0.36;Unidades
B&P-005-TCX214;BEARING PARTS;0.42;Unidades
B&P-005-TCX214;Bearing parts 30214;0.399999;Unidades
B&P-005-TCX216;BEARING PARTS;0.582993;Unidades
B&P-005-TCX305;BEARING PARTS;0.12;Unidades
B&P-005-TCX306;BEARING PARTS;0.15;Unidades
B&P-005-TCX307;BEARING PARTS;0.18;Unidades
B&P-005-TCX308;BEARING PARTS;0.21;Unidades
B&P-005-TCX309;BEARING PARTS;0.286995;Unidades
B&P-005-TCX310;BEARING PARTS;0.367896;Unidades
B&P-005-TDX006;BEAING PARTS;0.07;Unidades
B&P-005-TDX006;BEARING PARTS;0.07;Unidades
B&P-005-TDX008;BEARING PARTS;0.1526;Unidades
B&P-005-TDX009;BEARING PARTS;0.169999;Unidades
B&P-005-TDX010;Bearing parts 32010;0.024;Unidades
B&P-005-TDX205;BEARING PARTS;0.08;Unidades
B&P-005-TDX206;BEARING PARTS;0.114099;Unidades
B&P-005-TDX206;Bearing parts 32206;0.11;Unidades
B&P-005-TDX207;Bearing parts 32207;0.190297;Unidades
B&P-005-TDX208;Bearing parts 32208;0.165901;Unidades
B&P-005-TDX209;BEARING PARTS;0.181301;Unidades
B&P-005-TDX210;BEARING PARTS;0.23;Unidades
B&P-005-TDX211;Bearing parts 32211;0.237397;Unidades
B&P-005-TDX212;BEARING PARTS;0.3;Unidades
B&P-005-TDX213;BEARING PARTS 32213;0.343099;Unidades
B&P-005-TDX214;Bearing Parts;0.380001;Unidades
B&P-005-TDX216;BEARING PARTS 32216;0.713056;Unidades
B&P-005-TDX218;BEARING PARTS;0.816493;Unidades
B&P-005-TX1845;BEARING PARTS;0.726125;Unidades
B&P-005-W-208-YYB22;CANASTO;0.208997;Unidades
B&P-010-CAÑO-4130Ø32;CAÑO SAE 4130 Ø32MM X 2MM;27.736479;Metros
B&P-010-LOC204-20;VIROLA;0.12356;Unidades
B&P-010-LOC205-14;COLLAR DE AJUSTE EXCENTRICO PARA ROD. AGRICOLA;0.137356;Unidades
B&P-010-LOC205-16;COLLAR DE AJUSTE ECL;0.135546;Unidades
B&P-010-LOC205-25;COLLAR DE AJUSTE 25MM;0.141243;Unidades
B&P-010-LOC206-18;Collar de Ajuste;0.205734;Unidades
B&P-010-LOC206-19;COLLAR DE AJUSTE EXCENTRICO PARA ROD. AGRICOLA;0.179942;Unidades
B&P-010-LOC206-20;COLLAR DE AJUSTE EXCENTRICO PARA RODAIENTO AGRICOLA;0.179942;Unidades
B&P-010-LOC206-25;Collar de ajuste 25mm;0.355345;Unidades
B&P-010-LOC206-30;COLLAR DE AJUSTE EXCENTRICO PARA ROD. AGRICOLA;0.169746;Unidades
B&P-010-LOC207-20;Collar de ajuste;0.369984;Unidades
B&P-010-LOC207-22;COLLA DE AJUSTE;0.297096;Unidades
B&P-010-LOC207-22;COLLA DE AJUSTE EXCENTRICO PARA ROD. AGRICOLA;0.204496;Unidades
B&P-010-LOC207-23;COLLAR DE AJUSTE EXCENRTICO PARA ROD. AGRICOLA;0.241128;Unidades
B&P-010-LOC207-35;COLLAR DE AJUSTE 35MM;0.826128;Unidades
B&P-010-LOC208-24;LOC208-24;0.30051;Unidades
B&P-010-LOC208-40;LOC208-40;0.278916;Unidades
B&P-010-LOC209-27;COLLAR DE AJUSTE;0.28599;Unidades
B&P-010-LOC209-28;Collar de Ajuste;0.286317;Unidades
B&P-010-LOC209-45;COLLAR DE AJUSTE 45MM;0.579977;Unidades
B&P-010-LOC210-31;Collar de Ajuste;0.649998;Unidades
B&P-010-LOC210-32;Collar de Ajuste;0.349088;Unidades
B&P-010-LOC210-50;COLLAR AJUSTE ECL;0.392843;Unidades
B&P-010-LOC211-32;Collar de Ajuste;0.999956;Unidades
B&P-010-LOC211-35;COLLAR DE AJUSTE ECL;0.515986;Unidades
B&P-010-LOC211-55;COLLAR DE AJUSTE ECL;0.979957;Unidades
B&P-010-LOC212-39;COLLAR DE AJUSTE;0.250001;Unidades
B&P-010-LOC212-60;COLLAR DE AJUSTE ECL;0.499682;Unidades
B&P-010-LOC308-40;Collar;0.541421;Unidades
B&P-010-SR100X11.5;Anillo Separador 100 X 11.5 SNL511;0.344857;Unidades
B&P-010-SR100X6;Anillo Separador 100 X 6 SN511;0.195102;Unidades
B&P-010-SR100X8;Anillo Separador 100 X 8 SN511;0.250131;Unidades
B&P-010-SR100X9.5;Anillo Separador 100 X 9.5 SNL511;0.234903;Unidades
B&P-010-SR110X10;Anillo Separador 110 X 10 SNL512;0.330173;Unidades
B&P-010-SR110X13;Anillo Separador 110 X 13 SNL512;0.509789;Unidades
B&P-010-SR110X8;Anillo Separador 110 X 8 SN512;0.300157;Unidades
B&P-010-SR120X10;Anillo Separador 120 X 10 SNL513;0.360188;Unidades
B&P-010-SR120X12;Anillo Separador 120 X 12 SN513;0.430225;Unidades
B&P-010-SR120X14;Anillo Separador 120 X 14 SNL513;0.539777;Unidades
B&P-010-SR130X10;Anillo Separador 130 X 10 SN515;0.470246;Unidades
B&P-010-SR130X12.5;Anillo Separador 130 X 12.5 SNL515;0.489797;Unidades
B&P-010-SR130X15.5;Anillo Separador 130 X 15.5 SNL515;0.854646;Unidades
B&P-010-SR130X8;Anillo Separador 130 X 8 SN515;0.405212;Unidades
B&P-010-SR140X10;Anillo Separador 140 X 10 SN516;0.510267;Unidades
B&P-010-SR140X12.5;Anillo Separador 140 X 12.5 SNL516;0.654729;Unidades
B&P-010-SR140X16;Anillo Separador 140 X 16 SNL516;1.044568;Unidades
B&P-010-SR140X8.5;Anillo Separador 140 X 8.5 SN516;0.415217;Unidades
B&P-010-SR150X10;Anillo Separador 150 X 10 SN517;0.630329;Unidades
B&P-010-SR150X12.5;Anillo Separador 150 X 12.5 SNL517;0.74969;Unidades
B&P-010-SR150X16.5;Anillo Separador 150 X 16.5 SNL517;0.979595;Unidades
B&P-010-SR150X9;Anillo Separador 150 X 9 SN517;0.565396;Unidades
B&P-010-SR160X12.5;Anillo Separador 160 X 12.5X2 SNL518;0.794671;Unidades
B&P-010-SR160X12.6;Anillo Separador 160 X 12.6 SNL518;0.799669;Unidades
B&P-010-SR160X17.5;Anillo Separador 160 X 17.5 SNL518;1.174514;Unidades
B&P-010-SR170X12.5;Anillo Separador 170 X 12.5 SNL519;0.844651;Unidades
B&P-010-SR170X14.5;Anillo Separador 170 X 14.5 SNL519;0.909624;Unidades
B&P-010-SR180X12;Anillo Separador 180 X 12 SNL520;0.804667;Unidades
B&P-010-SR180X9.7;Anillo Separador 180 X 9.7 SNL520;0.779677;Unidades
B&P-010-SR200X10.2;Anillo Separador 200 X 10.2 SNL522;0.939611;Unidades
B&P-010-SR200X13.5;Anillo Separador 200 X 13.5 SNL522;1.049566;Unidades
B&P-010-SR62X10;Anillo Separador 62 x 10 SN506;0.180094;Unidades
B&P-010-SR62X7;Anillo Separador 62 x 7 SN506;0.160084;Unidades
B&P-010-SR72X10;Anillo Separador 72 x 10 SN507;0.200105;Unidades
B&P-010-SR72X8;Anillo Separador 72 x 8 SN507;0.170089;Unidades
B&P-010-SR80X10;Anillo Separador 80 x 10 SN508;0.21011;Unidades
B&P-010-SR80X10.5;Anillo Separador 80 X 10.5 SNL508;0.209913;Unidades
B&P-010-SR80X7.5;Anillo Separador 80 x 7.5 SN508;0.175092;Unidades
B&P-010-SR80X8;Anillo Separador 80 X 8 SNL508;0.199917;Unidades
B&P-010-SR85X5.5;Anillo Separador 85 X 5.5 SNL509;0.179926;Unidades
B&P-010-SR85X6;Anillo Separador 85 X 6 SN509;0.170089;Unidades
B&P-010-SR85X7;Anillo Separador 85 X 7 SNL509;0.209913;Unidades
B&P-010-SR85X8;Anillo Separador 85 X 8 SN509;0.240126;Unidades
B&P-010-SR90X10;Anillo Separador 90 X 10 SN510;0.23012;Unidades
B&P-010-SR90X10.5;Anillo Separador 90 X 10.5 SNL510;0.279884;Unidades
B&P-010-SR90X6.5;Anillo Separador 90 X 6.5 SN510;0.175092;Unidades
B&P-010-SR90X9;Anillo Separador 90 X 9 SNL510;0.229905;Unidades
B&P-017-FN506-SEAL;Sello de Fieltro SN506;0.056129;Unidades
B&P-017-FN507-SEAL;Sello de Fieltro SN507;0.056029;Unidades
B&P-017-FN508-SEAL;Sello de Fieltro SN508;0.063633;Unidades
B&P-017-FN509-SEAL;Sello de Fieltro SN509;0.065534;Unidades
B&P-017-FN510-SEAL;Sello de Fieltro SN510;0.067335;Unidades
B&P-017-FN511-SEAL;Sello de Fieltro SN511;0.084244;Unidades
B&P-017-FN512-SEAL;Sello de Fieltro SN512;0.087946;Unidades
B&P-017-FN513-SEAL;Sello de Fieltro SN513;0.118762;Unidades
B&P-017-FN515-SEAL;Sello de Fieltro SN515;0.122564;Unidades
B&P-017-FN516-SEAL;Sello de Fieltro SN516;0.163686;Unidades
B&P-017-FN517-SEAL;Sello de Fieltro SN517;0.17209;Unidades
B&P-027-08-DTR2549;SELLO PARA RODAMIENTO DTR2549-FM;0.170019;Unidades
B&P-027-205-BR-09;Slinger;0.039998;Unidades
B&P-027-205-KPPB9-09;SLINGER;0.16;Unidades
B&P-027-207-BR-09;Slinger;0.129994;Unidades
B&P-027-209-BR-09;Slinger;0.189992;Unidades
B&P-027-211-BR-09;Slinger;0.329986;Unidades
B&P-027-5203-KYY9;SEAL-5203-KYY9;0.136001;Unidades
B&P-027-BP12011-01-8;SELLO;0.125001;Unidades
B&P-027-NTBS-1613-09;Guardapolvo;0.061245;Unidades
B&P-027-SEAL204JY3DL;SELLO 204JY3;0.15;Unidades
B&P-031-12025ROLLERS;Automotor = 25x52x37;3.39864;Unidades
B&P-031-DAC-25520037;Automotor = 25x52x37;3.009746;Unidades
B&P-031-DAC-25520042;Automotor = 25x52x42;3.009746;Unidades
B&P-031-DAC-30550023;Automotor = 30x55x23;2.27109;Unidades
B&P-031-DAC-30600337;Automotor = 30x60x37;2.83976;Unidades
B&P-031-DAC-30620030;Automotor = 30x62x30;3.249363;Unidades
B&P-031-DAC-34660037;Automotor = 34x66x37;3.399713;Unidades
B&P-031-DAC-34670037;Automotor = 34x67x37;3.489965;Unidades
B&P-031-DAC-35650035;Automotor = 35x65x35;2.920003;Unidades
B&P-031-DAC-35680037;Automotor FWD-353295-K = 35x68x37;3.150006;Unidades
B&P-031-DAC-35720033;Automotor = 35x72x33;4.129959;Unidades
B&P-031-DAC-35720034;Automotor = 35x72x34;3.780062;Unidades
B&P-031-DAC-37720037;Automotor = 37x72x37;3.649692;Unidades
B&P-031-DAC-39720037;Automotor = 39x72x37;3.500004;Unidades
B&P-031-DAC-39740039;Automotor = 39x74x39_x000D_;4.000185;Unidades
B&P-031-DAC-40108001;Rod Automotor;5.81001;Unidades
B&P-031-DAC-40720037;Automotor = 40x72x37;3.170004;Unidades
B&P-031-DAC-42800037;Automotor = 42x80x37;5.122458;Unidades
B&P-031-DAC-42840039;Automotor = 42x84x39;5.349548;Unidades
B&P-031-DAC-45800045;Automotor = 45x80x45;4.840009;Unidades
B&P-032-BP-25004-01;Cuerpo Polea AN277319;0.660033;Unidades
B&P-032-BP-25004-02;Eje Conico Polea AN277319;0.940047;Unidades
B&P-032-BP-25004-04;Remaches Polea AN277319;0.030002;Unidades
B&P-032-BP-25005-01;Cuerpo polea CNH 86588003;3.737775;Unidades
B&P-032-BP-25005-02;Buje Polea CNH86588003;0.379774;Unidades
B&P-032-BP-25005-03;Oring;0.100015;Unidades
B&P-032-BP-25005-04;Remache 5.3 x 9.5;0.039976;Unidades
B&P-033-ASA-100-1;"Cadena de rod. en Caja - P = 1 1/4"" -Simple";2.929121;Pies
B&P-033-ASA-100-1H;"Cadena de rod. en Caja - P = 1 1/4"" -Simple -Reforzada";4.101222;Pies
B&P-033-ASA-100-2;"Cadena de rod. en Caja - P = 1 1/4"" -Doble";5.859467;Pies
B&P-033-ASA-120-1H;"Cadena de rod. en Caja - P = 1 1/2"" -Simple -Reforzada";4.850039;Pies
B&P-033-ASA-140-1;"Cadena de rod. en Caja - P = 1 3/4"" -Simple";6.360308;Pies
B&P-033-ASA-140-1H;"Cadena de rod. en Caja - P = 1 3/4"" -Simple -Reforzada";8.14026;Pies
B&P-033-ASA-40-1;"Cadena de rod. en Caja - P = 1/2"" -Simple";0.430022;Pies
B&P-033-ASA-40-2;"Cadena de rod. en Caja - P = 1/2"" -Doble";1.009636;Pies
B&P-033-ASA-415-H;"Cadena de rod. en Caja - P = 1/2"" -Simple -Reforzada";0.510025;Unidades
B&P-033-ASA-50-1;"Cadena de rod. en Caja - P = 5/8"" -Simple";0.660033;Pies
B&P-033-ASA-50-1H;"Cadena de rod. en Caja - P = 5/8"" -Simple -Reforzada";0.820041;Pies
B&P-033-ASA-50-2;"Cadena de rod. en Caja - P = 5/8"" -Doble";1.49946;Unidades
B&P-033-ASA-60-1;"Cadena de rod. en Caja - P = 3/4"" -Simple";0.880044;Pies
B&P-033-ASA-60-1H;"Cadena de rod. en Caja - P = 3/4"" -Simple -Reforzada";1.309528;Pies
B&P-033-ASA-60-2;"Cadena de rod. en Caja - P = 3/4"" -Doble";1.960098;Pies
B&P-033-ASA-80-1;"Cadena de rod. en Caja - P = 1"" -Simple";1.650082;Pies
B&P-033-ASA-80-1H;"Cadena de rod. en Caja - P = 1"" -Simple -Reforzada";2.020101;Pies
B&P-033-ASA-80-2;"Cadena de rod. en Caja - P = 1"" -Doble";4.451326;Pies
B&P-033-ASA160-1H-RE;"Cadena de rod. en Rollo - P = 2"" -Simple -Reforzada";32.410259;Unidades
B&P-033-ASA180-1H-PT;ASA180-1H-PLATE;2.10105;Unidades
B&P-033-ASA180-1H-RE;"Cadena de rod. en Rollo - P = 2 1/4"" -Simple";56.406804;Metros
B&P-033-ASA410-REEL;"Cadena de rod. en Rollo - P = 1/2"" -Simple";1.190055;Unidades
B&P-033-ASA415-H-REE;"Cadena de rod. en Rollo - P = 1/2"" -Simple -Reforzada";1.480047;Unidades
B&P-033-ASA60-1-REEL;"Cadena de rod. en Rollo - P = 3/4"" -Simple";2.750138;Metros
B&P-033-ASA60-1H-REE;"Cadena de rod. en Rollo - P = 3/4"" -Simple -Reforzada";3.570178;Metros
B&P-033-ASA80-1-REEL;"Cadena de rod. en Rollo - P = 1"" -Simple";4.930246;Metros
B&P-033-ASA80-1H-REE;"Cadena de rod. en Rollo - P = 1"" -Simple -Reforzada";6.410321;Metros
B&P-033-ASA80-2-REEL;"Cadena de rod. en Rollo - P = 1"" -Doble";10.050503;Pies
B&P-033-C2060-H-A1;CADENA ACARREADORA C/UNION;17.805304;Unidades
B&P-033-C2060-H-SK1;CADENA ACARREADORA C/UNION;31.009238;Unidades
B&P-033-C2060H-PLATE;C2060H Plate Chain;0.050018;Unidades
B&P-033-C2060H-SK1AT;C2060H-SK1 atachament;0.284099;Unidades
B&P-033-CA-550;REEL 20/M;4.680037;Metros
B&P-033-CA-550-A1;CADENA ACARREADORA REEL 20/M_x000D_;5.14257;Metros
B&P-033-CA550-A1-CL;CADENAS DE UNION Y MEDIA MALLA_x000D_;0.470792;Unidades
B&P-033-CA550K-19SE2;Cadena Arrancadora 2x2_x000D_;24.341947;Unidades
B&P-033-CA550K-19SE4;Cadena Arrancadora 4x2;23.930766;Unidades
B&P-033-CA550KL19SE2;Cadena Arrancadora 2x2/ 104 links;25.320203;Unidades
B&P-033-CA550KL19SE4;Cadena Arrancadora 4x2/ 104 links;24.890199;Unidades
B&P-033-CA555-C2E-48;Cadena Maicera 48 x 8;11.175975;Unidades
B&P-033-CA555-C6E-52;Cadena Maicera 52 x 9;12.726181;Unidades
B&P-033-CA555R-C5E-M;CADENA MAICERO 48 X 8 (30603-606);10.975443;Unidades
B&P-033-CA555R-QX48P;Cadena Maicera 48 x 8;9.566028;Unidades
B&P-033-CA627-M40A;Cadena Maicera 66 x 8;19.155707;Unidades
B&P-033-CA627-M40A-7;Cadena Maicera 70 x 7;20.560997;Unidades
B&P-033-CA627-M40A-9;Cadena Maicera 66 x 11;17.02845;Unidades
B&P-033-CA627-M40AY;Cadena Maicera 66 X 8 (30603871);18.94242;Unidades
B&P-033-CCL-140-1;Union Simple;2.130103;Unidades
B&P-033-CCL-140-1H;Union Simple H;2.330694;Unidades
B&P-033-CCL-50-1;Union simple ASA-50-1 con chaveta;0.136004;Unidades
B&P-033-CCL-50-1H;Union simple ASA-50-1H con chaveta;0.170005;Unidades
B&P-033-CCL-60-1;Union simple ASA-60-1 con chaveta;0.204007;Unidades
B&P-033-CCL-60-1H;Union simple ASA-60-1H con chaveta;0.299868;Unidades
B&P-033-CCL-60-2;Union Doble ASA-60-2 con chaveta;0.447014;Unidades
B&P-033-CCL-80-1;Union simple ASA-80-1 con chaveta;0.574018;Unidades
B&P-033-CCL-80-1-H;Union simple ASA-80-1H con chaveta;0.775025;Unidades
B&P-033-CCL-80-2;Union Doble ASA-60-2 con chaveta;5.508813;Unidades
B&P-033-CL-100-1HR;UNION ASA 100 H;0.899928;Unidades
B&P-033-CL-100-2;UNION DOBLE 100;1.589855;Unidades
B&P-033-CL-120-1H;UNION SIMPLE H;1.21001;Unidades
B&P-033-CL-180-1H;UNION SIMPLE H;6.616971;Unidades
B&P-033-CL-40-1;Union simple ASA-40-1;0.079971;Unidades
B&P-033-CL-40-2;Union Doble;0.150007;Unidades
B&P-033-CL-415-H;UNION SIMPLE_x000D_;0.090004;Unidades
B&P-033-CL-50-1;Union simple ASA-50-1;0.10996;Unidades
B&P-033-CL-50-2;Union Doble;0.220011;Unidades
B&P-033-CL-60-1;Union simple ASA-60-1;0.136007;Unidades
B&P-033-CL-60-1H;Union Simple H_x000D_;0.310015;Unidades
B&P-033-CL-60-2;Union Doble;0.344103;Unidades
B&P-033-CL-80-1;Union simple;0.39002;Unidades
B&P-033-CL-80-2;Union Doble_x000D_;1.002299;Unidades
B&P-033-OL-100-1;MEDIA MALLA;1.450354;Unidades
B&P-033-OL-100-1H;Media malla simple H;1.809201;Unidades
B&P-033-OL-100-3;M.MALLA 100 TRIPLE;4.33129;Unidades
B&P-033-OL-120-1H;MEDIA MALLA SIMPLE H;2.430019;Unidades
B&P-033-OL-140-1;Media Malla Simple;4.240206;Unidades
B&P-033-OL-140-1H;Media Malla Simple H;4.238128;Unidades
B&P-033-OL-415-H;MEDIA MALLA SIMPLE;0.148044;Unidades
B&P-033-OL-50-1;Media Malla ASA-50-1;0.201927;Unidades
B&P-033-OL-50-1H;Media Malla Simple H;0.261013;Unidades
B&P-033-OL-50-2;Media Malla Doble;0.397968;Unidades
B&P-033-OL-60-1;Media Malla ASA-60-1;0.319859;Unidades
B&P-033-OL-60-1H;Media Malla Simple H_x000D_;0.420021;Unidades
B&P-033-OL-60-2;Media Malla Doble;0.624031;Unidades
B&P-033-OL-80-1;Media malla simple;0.769038;Unidades
B&P-033-OL-80-1-H;Media malla simple H;0.951048;Unidades
B&P-033-OL-80-2;Media malla doble;2.000596;Unidades
B&P-033-PIN-ASA180-1;Pin ASA180-1H;0.8004;Unidades
B&P-033-PIN-C2060-H;Pin chain;0.011004;Unidades
B&P-034-BL-10-BD;Rotula - Rosca M10x1.25;1.540419;Unidades
B&P-034-GE-17-ES-2RS;Rotula 17mm 2RS;0.92025;Unidades
B&P-034-GE-25-ES-2RS;Rotula 25mm 2RS;1.029387;Unidades
B&P-034-GE-40-ES-2RS;Rotula 40mm 2RS;2.150585;Unidades
B&P-034-GE-50-ES-2RS;ROTULA 50mm 2RS_x000D_;3.877691;Unidades
B&P-034-GE-60-ES-2RS;Rotula 60mm 2RS;5.909607;Unidades
B&P-034-GEG20ES-2RS;ROTULA Ø20XØ42_x000D_;1.93609;Unidades
B&P-034-GEZ-100-ES-2;"ROTULA 1""";1.708398;Unidades
B&P-034-GEZ-108-ES-2;ROTULA 1-1/2;4.909595;Unidades
B&P-034-PHS-10-DER.;Rotula Hembra Der.10mm_x000D_;1.401439;Unidades
B&P-034-PHS-10-IZQ.;Rotula Hembra Izq.10mm;1.400065;Unidades
B&P-034-PHS-12-DER.;Rotula Hembra Der.12mm;1.779288;Unidades
B&P-034-PHS-12-IZQ.;Rotula Hembra Izq.12mm;1.779288;Unidades
B&P-034-PHS-14-DER.;Rotula Hembra Der.14mm;1.980461;Unidades
B&P-034-PHS-16-DER.;Rotula Hembra Der.16mm;2.910678;Unidades
B&P-034-PHS-16-IZQ.;Rotula Hembra Izq.16mm;2.910135;Unidades
B&P-034-PHS-18-DER.;Rotula Hembra Der.18mm;3.530822;Unidades
B&P-034-PHS-25-DER.;Rotula Hembra Der.25mm;8.201911;Unidades
B&P-034-PHS-5-DER.;Rotula Hembra Der. 5mm;0.960224;Unidades
B&P-034-PHS-6-DER.;Rotula Hembra Der.6mm;0.840001;Unidades
B&P-034-PHS-6-IZQ.;Rotula Hembra Izq.6mm;1.070049;Unidades
B&P-034-PHS-8-DER;Rotula Hembra Der.8mm;1.170054;Unidades
B&P-034-PHS-8-IZQ;Rotula Hembra Izq.8mm;1.170054;Unidades
B&P-034-PHSB-6;Rotula Hembra Right Thread;2.538117;Unidades
B&P-034-POS-10-DER.;Rotula Macho Der.10mm.;1.34946;Unidades
B&P-034-POS-10-IZQ.;Rotula Macho Izq.10mm.;1.070001;Unidades
B&P-034-POS-12-DER.;Rotula Macho Der.12mm.;1.800083;Unidades
B&P-034-POS-12-IZQ.;Rotula Macho Izq.12mm.;1.69932;Unidades
B&P-034-POS-14-DER.;Rotula Macho Der.14mm.;1.460001;Unidades
B&P-034-POS-16-DER.;Rotula Macho Der.16mm.;2.680124;Unidades
B&P-034-POS-16-IZQ.;Rotula Macho Izq.16mm.;1.920002;Unidades
B&P-034-POS-18-DER.;Rotula Macho Der.18mm.;3.590166;Unidades
B&P-034-POS-20-DER.;Rotula Macho Der.20mm;4.150967;Unidades
B&P-034-POS-20-IZQ.;Rotula Macho Izq.20mm.;4.150967;Unidades
B&P-034-POS-5-DER.;Rotula macho der. 5mm.;0.820001;Unidades
B&P-034-POS-6-DER.;Rotula Macho Der. 6 mm._x000D_;1.050049;Unidades
B&P-034-POS-8-DER.;Rotula Macho Der. 8 mm.;1.250058;Unidades
B&P-034-POS-8-IZQ;Rotula Macho Izq.8mm.;1.062001;Unidades
B&P-034-POSB-10-DER.;Rotula Macho 5/8 Der.;3.740871;Unidades
B&P-034-POSB-10-IZQ.;Rotula Macho 5/8 Izq.;3.150007;Unidades
B&P-034-POSB-12-DER.;Rotula Macho 3/4 Der.;5.840005;Unidades
B&P-034-POSB-12-IZQ.;Rotula Macho 3/4 Izq.;5.840005;Unidades
B&P-034-POSB-6-DER.;Rotula Macho 3/8 Der.;2.340545;Unidades
B&P-034-POSB-6-IZQ.;Rotula Macho 3/8 Izq.;2.340545;Unidades
B&P-034-POSB-8-DER.;Rotula Macho 1/2 Der.;2.758896;Unidades
B&P-034-SA20T/K-RD;ROTULA ROSCA DERECHA;3.600001;Unidades
B&P-034-SA20T/K-RI;Rotula rosca izq.;7.199993;Unidades
B&P-034-SA20T/K-RI;ROTULA ROSCA IZQUIERDA;3.600001;Unidades
B&P-035-BA-3616-ZOH;8036-4104-RL2-Rolamento BAM-3616- ZOH (510069);1.382965;Unidades
B&P-035-BHA-1612-ZO;"Rod. de Agujas = 1""x1""5/16x3/4";0.669983;Unidades
B&P-035-BHA-1616-ZOH;"Rod. de Agujas = 1""x1""5/16x1""";0.817989;Unidades
B&P-035-BHA-2020-ZO;"Rod. de Agujas = 1""1/4x1""5/8x1""1/4";1.007975;Unidades
B&P-035-CF18;Cam Follower = 18x40x20;3.361176;Unidades
B&P-035-F1720;Rodamiento de agujas;1.000004;Unidades
B&P-035-HK-1412;Rod. de Agujas = 14x20x12;0.229991;Unidades
B&P-035-HK-2830;Rod. de Agujas = 28x35x30;0.910302;Unidades
B&P-035-HN-2820;Rod. de Agujas;0.680065;Unidades
B&P-035-IR-25-29-30;Buje 25x29x30_x000D_;0.840278;Unidades
B&P-035-KT101310;"Rodamiento de aguja 10x13x10, Jaula de chapa estampada: 20CrMo; Rodillos: 100Cr6";0.413421;Unidades
B&P-035-KT101415;"Rodamiento de aguja 10x14x15, Jaula de chapa estampada: 20CrMo; Rodillos: 100Cr6";0.39222;Unidades
B&P-035-KT131816;"Rodamiento de aguja 13x18x16, Jaula de chapa estampada: 20CrMo; Rodillos: 100Cr6";0.445222;Unidades
B&P-035-KT151922;"Rodamiento de aguja 15x19x22 (simple hilera), Jaula de chapa estampada: 20CrMo; Rodillos: 100Cr6";0.614831;Unidades
B&P-035-NJG-2250;ROD. RODILLOS CILINDRICOS;3.709999;Unidades
B&P-035-NJG-2860;ROD. RODILLOS CILINDRICOS;4.719999;Unidades
B&P-035-NK-2520;Rod. de Agujas = 25x33x20;1.470487;Unidades
B&P-035-NK-2830;Rod. de Agujas = 28x37x30;1.719935;Unidades
B&P-035-NK-2930;Rod. de Agujas = 29x38x30_x000D_;1.550514;Unidades
B&P-035-NK-4520;Rod. de Agujas = 45x55x20;1.729935;Unidades
B&P-035-NK-5025;Rod. de Agujas = 50x62x25;2.859892;Unidades
B&P-035-NKIS-15;Rod. de Agujas = 15x35x20;1.664958;Unidades
B&P-035-SS-BA-3616;8036-4104-RL2-ROLAMENTO BAM 3616-ZOH;2.360008;Unidades
B&P-035-SS-BHA-1612;Rod. de Agujas;1.119991;Unidades
B&P-035-SS-BHA-2020;Rod. de agujas;1.720003;Unidades
B&P-035-SS-YB-3216;Rod. de agujas;2.760009;Unidades
B&P-035-TA-3820-Z;Rod. de Agujas_x000D_;1.22002;Unidades
B&P-035-YB-1816;"Rod. de Agujas = 1""1/8x1""3/8x1""";0.759965;Unidades
B&P-036-SN506;Soporte bi-partido;5.180508;Unidades
B&P-036-SN507;Soporte bi-partido;5.160498;Unidades
B&P-036-SN508;Soporte bi-partido;5.885877;Unidades
B&P-036-SN509;Soporte bi-partido;6.082179;Unidades
B&P-036-SN510;Soporte bi-partido;6.248666;Unidades
B&P-036-SN511;Soporte bi-partido;7.865712;Unidades
B&P-036-SN512;Soporte bi-partido;8.018391;Unidades
B&P-036-SN513;Soporte bi-partido;10.918307;Unidades
B&P-036-SN515;Soporte bi-partido;11.200855;Unidades
B&P-036-SN516;Soporte bi-partido;15.210751;Unidades
B&P-036-SN517;Soporte bi-partido;15.734325;Unidades
B&P-036-SNL508;Soporte bi-partido;9.456088;Unidades
B&P-036-SNL509;Soporte bi-partido;10.445679;Unidades
B&P-036-SNL510;Soporte bi-partido;11.115402;Unidades
B&P-036-SNL511;Soporte bi-partido;14.494004;Unidades
